Company Symbol,Igroup,financial_year,Element_Id,Element_Name,P&L Cateogry,Calculated_Value
BHARTIARTL,Telecom - Services,2019,60026,RevenueFromOperations,Revenue / Income,2.9377E+12
BHARTIARTL,Telecom - Services,2019,60027,OtherIncome,Revenue / Income,12418000000
BHARTIARTL,Telecom - Services,2019,60028,Income,Revenue / Income,2.95012E+12
BHARTIARTL,Telecom - Services,2019,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2019,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2019,60032,EmployeeBenefitExpense,Expenses,1.18145E+11
BHARTIARTL,Telecom - Services,2019,60033,FinanceCosts,Expenses,3.50209E+11
BHARTIARTL,Telecom - Services,2019,60034,DepreciationDepletionAndAmortisationExpense,Expenses,8.12632E+11
BHARTIARTL,Telecom - Services,2019,60035,OtherExpenses,Expenses,1.95691E+12
BHARTIARTL,Telecom - Services,2019,60039,ProfitBeforeTax,Profit,-2.87775E+11
BHARTIARTL,Telecom - Services,2019,60042,TaxExpense,Tax,-1.8963E+11
BHARTIARTL,Telecom - Services,2019,60049,ProfitLossForPeriod,Profit,-98145000000
BHARTIARTL,Telecom - Services,2019,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2019,600002,Gross Margin,Profit,2.95012E+12
BHARTIARTL,Telecom - Services,2019,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2019,600004,EBIDTA/ Operating Profit,Profit,8.75066E+11
BHARTIARTL,Telecom - Services,2019,600005,Operating Profit%,Profit,29.66202753648832150000
BHARTIARTL,Telecom - Services,2019,600005,PBT%,Profit,-9.754681332
BHARTIARTL,Telecom - Services,2019,600006,PAT%,Profit,-3.326811569
BHARTIARTL,Telecom - Services,2020,60026,RevenueFromOperations,Revenue / Income,3.12713E+12
BHARTIARTL,Telecom - Services,2020,60027,OtherIncome,Revenue / Income,13745000000
BHARTIARTL,Telecom - Services,2020,60028,Income,Revenue / Income,3.14088E+12
BHARTIARTL,Telecom - Services,2020,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2020,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2020,60032,EmployeeBenefitExpense,Expenses,1.17765E+11
BHARTIARTL,Telecom - Services,2020,60033,FinanceCosts,Expenses,4.74984E+11
BHARTIARTL,Telecom - Services,2020,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.07637E+12
BHARTIARTL,Telecom - Services,2020,60035,OtherExpenses,Expenses,1.77594E+12
BHARTIARTL,Telecom - Services,2020,60039,ProfitBeforeTax,Profit,-3.04183E+11
BHARTIARTL,Telecom - Services,2020,60042,TaxExpense,Tax,-6.80764E+11
BHARTIARTL,Telecom - Services,2020,60049,ProfitLossForPeriod,Profit,3.76581E+11
BHARTIARTL,Telecom - Services,2020,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2020,600002,Gross Margin,Profit,3.14088E+12
BHARTIARTL,Telecom - Services,2020,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2020,600004,EBIDTA/ Operating Profit,Profit,1.24717E+12
BHARTIARTL,Telecom - Services,2020,600005,Operating Profit%,Profit,39.70768683151653773200
BHARTIARTL,Telecom - Services,2020,600005,PBT%,Profit,-9.684648687
BHARTIARTL,Telecom - Services,2020,600006,PAT%,Profit,11.98967295132125475700
BHARTIARTL,Telecom - Services,2021,60026,RevenueFromOperations,Revenue / Income,3.68591E+12
BHARTIARTL,Telecom - Services,2021,60027,OtherIncome,Revenue / Income,62951000000
BHARTIARTL,Telecom - Services,2021,60028,Income,Revenue / Income,3.74886E+12
BHARTIARTL,Telecom - Services,2021,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2021,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2021,60032,EmployeeBenefitExpense,Expenses,1.32771E+11
BHARTIARTL,Telecom - Services,2021,60033,FinanceCosts,Expenses,5.96442E+11
BHARTIARTL,Telecom - Services,2021,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.15192E+12
BHARTIARTL,Telecom - Services,2021,60035,OtherExpenses,Expenses,1.93531E+12
BHARTIARTL,Telecom - Services,2021,60039,ProfitBeforeTax,Profit,-67584000000
BHARTIARTL,Telecom - Services,2021,60042,TaxExpense,Tax,3.83618E+11
BHARTIARTL,Telecom - Services,2021,60049,ProfitLossForPeriod,Profit,-4.51202E+11
BHARTIARTL,Telecom - Services,2021,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2021,600002,Gross Margin,Profit,3.74886E+12
BHARTIARTL,Telecom - Services,2021,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2021,600004,EBIDTA/ Operating Profit,Profit,1.68078E+12
BHARTIARTL,Telecom - Services,2021,600005,Operating Profit%,Profit,44.83432296751545803300
BHARTIARTL,Telecom - Services,2021,600005,PBT%,Profit,-1.802788048
BHARTIARTL,Telecom - Services,2021,600006,PAT%,Profit,-12.03571219
BHARTIARTL,Telecom - Services,2022,60026,RevenueFromOperations,Revenue / Income,4.11781E+12
BHARTIARTL,Telecom - Services,2022,60027,OtherIncome,Revenue / Income,50240000000
BHARTIARTL,Telecom - Services,2022,60028,Income,Revenue / Income,4.16805E+12
BHARTIARTL,Telecom - Services,2022,60029,CostOfMaterialsConsumed,Expenses,0
BHARTIARTL,Telecom - Services,2022,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,0
BHARTIARTL,Telecom - Services,2022,60032,EmployeeBenefitExpense,Expenses,1.34312E+11
BHARTIARTL,Telecom - Services,2022,60033,FinanceCosts,Expenses,6.9163E+11
BHARTIARTL,Telecom - Services,2022,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1.28282E+12
BHARTIARTL,Telecom - Services,2022,60035,OtherExpenses,Expenses,1.95636E+12
BHARTIARTL,Telecom - Services,2022,60039,ProfitBeforeTax,Profit,1.02931E+11
BHARTIARTL,Telecom - Services,2022,60042,TaxExpense,Tax,77134000000
BHARTIARTL,Telecom - Services,2022,60049,ProfitLossForPeriod,Profit,25797000000
BHARTIARTL,Telecom - Services,2022,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2022,600002,Gross Margin,Profit,4.16805E+12
BHARTIARTL,Telecom - Services,2022,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2022,600004,EBIDTA/ Operating Profit,Profit,2.07738E+12
BHARTIARTL,Telecom - Services,2022,600005,Operating Profit%,Profit,49.84053697999376687100
BHARTIARTL,Telecom - Services,2022,600005,PBT%,Profit,2.46952352550388658900
BHARTIARTL,Telecom - Services,2022,600006,PAT%,Profit,0.61892236923204634500
BHARTIARTL,Telecom - Services,2023,60026,RevenueFromOperations,Revenue / Income,4.98419E+12
