Sector,Igroup
Energy,Petroleum Products
Information Technology,IT - Software
Financial Services,Banks
Financial Services,Banks
Telecommunication,Telecom - Services
Financial Services,Banks
Information Technology,IT - Software
Financial Services,Insurance
Fast Moving Consumer Goods,Diversified FMCG
Fast Moving Consumer Goods,Diversified FMCG
Industrials,Construction
Financial Services,Finance
Information Technology,IT - Software
Consumer Discretionary,Automobiles
Healthcare,Pharmaceuticals & Biotechnology
Commodities,Metals & Minerals Trading
Financial Services,Banks
Consumer Discretionary,Consumer Durables
Energy,Oil
Consumer Discretionary,Automobiles
Utilities,Power
Financial Services,Banks
Consumer Discretionary,Retailing
Utilities,Power
Services,Transport Infrastructure
Commodities,Cement & Cement Products
Consumer Discretionary,Consumer Durables
Energy,Consumable Fuels
Financial Services,Finance
Consumer Discretionary,Automobiles
Utilities,Power
Fast Moving Consumer Goods,Food Products
Information Technology,IT - Software
Consumer Discretionary,Automobiles
Energy,Petroleum Products
Financial Services,Finance
Industrials,Aerospace & Defense
Consumer Discretionary,Realty
Utilities,Power
Commodities,Ferrous Metals
Commodities,Ferrous Metals
Industrials,Electrical Equipment
Financial Services,Finance
Fast Moving Consumer Goods,Beverages
Consumer Discretionary,Retailing
Commodities,Chemicals & Petrochemicals
Commodities,Cement & Cement Products
Financial Services,Insurance
Industrials,Aerospace & Defense
Information Technology,IT - Software
Consumer Discretionary,Retailing
Financial Services,Banks
Services,Transport Services
Financial Services,Banks
Financial Services,Insurance
Industrials,Electrical Equipment
Energy,Petroleum Products
Financial Services,Finance
Fast Moving Consumer Goods,Personal Products
Utilities,Power
Commodities,Non - Ferrous Metals
Commodities,Non - Ferrous Metals
Information Technology,IT - Software
Commodities,Cement & Cement Products
Financial Services,Banks
Healthcare,Pharmaceuticals & Biotechnology
Energy,Gas
Financial Services,Finance
Fast Moving Consumer Goods,Food Products
Financial Services,Banks
Utilities,Power
Financial Services,Banks
Consumer Discretionary,Realty
Consumer Discretionary,Automobiles
Financial Services,Banks
Fast Moving Consumer Goods,Agricultural Food & other Products
Healthcare,Pharmaceuticals & Biotechnology
Consumer Discretionary,Automobiles
Healthcare,Pharmaceuticals & Biotechnology
Energy,Gas
Commodities,Diversified Metals
Financial Services,Finance
Consumer Discretionary,Consumer Durables
Consumer Discretionary,Automobiles
Fast Moving Consumer Goods,Personal Products
Commodities,Cement & Cement Products
Healthcare,Pharmaceuticals & Biotechnology
Financial Services,Finance
Healthcare,Pharmaceuticals & Biotechnology
Healthcare,Healthcare Services
Utilities,Power
Financial Services,Finance
Consumer Discretionary,Auto Components
Healthcare,Pharmaceuticals & Biotechnology
Financial Services,Insurance
Financial Services,Banks
Utilities,Power
Commodities,Ferrous Metals
Industrials,Electrical Equipment
Consumer Discretionary,Leisure Services
Industrials,Industrial Products
Financial Services,Insurance
Industrials,Electrical Equipment
Financial Services,Capital Markets
Healthcare,Healthcare Services
Commodities,Chemicals & Petrochemicals
Consumer Discretionary,Auto Components
Telecommunication,Telecom - Services
Industrials,Industrial Products
Information Technology,IT - Software
Commodities,Chemicals & Petrochemicals
Consumer Discretionary,Leisure Services
Fast Moving Consumer Goods,Personal Products
Healthcare,Pharmaceuticals & Biotechnology
Consumer Discretionary,Retailing
Consumer Discretionary,Auto Components
Financial Services,Banks
Energy,Petroleum Products
Consumer Discretionary,Consumer Durables
Financial Services,Banks
Utilities,Power
Energy,Oil
Financial Services,Finance
Telecommunication,Telecom - Services
Fast Moving Consumer Goods,Agricultural Food & other Products
Consumer Discretionary,Realty
Healthcare,Pharmaceuticals & Biotechnology
Financial Services,Banks
Financial Services,Banks
Information Technology,IT - Software
Financial Services,Finance
Commodities,Minerals & Mining
Healthcare,Pharmaceuticals & Biotechnology
Commodities,Fertilizers & Agrochemicals
Information Technology,IT - Services
Financial Services,Insurance
Telecommunication,Telecom - Services
Commodities,Ferrous Metals
Consumer Discretionary,Auto Components
Commodities,Ferrous Metals
Fast Moving Consumer Goods,Personal Products
Industrials,Electrical Equipment
Commodities,Chemicals & Petrochemicals
Industrials,Industrial Products
Services,Transport Services
Consumer Discretionary,Realty
Industrials,Industrial Products
Financial Services,Banks
Industrials,Construction
Consumer Discretionary,Auto Components
Financial Services,Banks
Services,Transport Infrastructure
Financial Services,Financial Technology (Fintech)
Industrials,"Agricultural, Commercial & Construction Vehicles"
Industrials,Electrical Equipment
Consumer Discretionary,Realty
Services,Transport Infrastructure
Information Technology,IT - Software
Fast Moving Consumer Goods,Agricultural Food & other Products
Utilities,Power
Consumer Discretionary,Realty
Commodities,Cement & Cement Products
